gap_duration,contrast,n_flashes,response,rt,subject
0,0.5,1,0,0.947265625,2
35,0.5,2,1,0.6953125,2
0,1,1,0,0.474609375,2
21,1,2,1,0.416015625,2
0,1,1,0,0.392578125,2
0,1,1,0,0.6953125,2
21,1,2,1,0.69140625,2
0,0.5,1,0,0.548828125,2
56,1,2,1,0.509765625,2
28,1,2,1,0.46875,2
49,0.5,2,1,0.79296875,2
28,0.5,2,1,0.58203125,2
49,1,2,1,0.82421875,2
21,0.5,2,1,0.544921875,2
0,0.5,1,0,0.49609375,2
7,1,2,0,0.521484375,2
0,0.5,1,0,0.513671875,2
0,1,1,0,0.44140625,2
14,1,2,0,0.853515625,2
42,1,2,1,0.521484375,2
21,1,2,1,0.4609375,2
0,0.5,1,0,0.53515625,2
0,1,1,0,0.66015625,2
0,1,1,0,0.4140625,2
42,0.5,2,1,0.376953125,2
0,0.5,1,0,0.673828125,2
0,0.5,1,0,0.451171875,2
42,1,2,1,0.62109375,2
0,1,1,0,0.630859375,2
0,1,1,0,0.501953125,2
0,1,1,0,0.470703125,2
0,0.5,1,0,0.337890625,2
0,1,1,0,0.390625,2
0,1,1,0,0.455078125,2
0,1,1,0,0.439453125,2
0,0.5,1,0,0.3046875,2
0,0.5,1,0,0.408203125,2
0,1,1,0,0.427734375,2
0,1,1,0,0.435546875,2
0,1,1,0,0.50390625,2
0,1,1,0,0.39453125,2
42,0.5,2,1,0.505859375,2
0,1,1,0,0.529296875,2
0,1,1,0,0.427734375,2
0,0.5,1,0,0.466796875,2
0,0.5,1,0,0.35546875,2
21,1,2,1,0.51953125,2
0,1,1,0,0.421875,2
21,1,2,1,0.857421875,2
7,0.5,2,0,0.447265625,2
28,0.5,2,1,0.583984375,2
7,0.5,2,0,0.5859375,2
0,0.5,1,0,0.640625,2
35,1,2,1,0.5234375,2
14,1,2,0,0.578125,2
28,1,2,1,0.412109375,2
42,1,2,1,0.587890625,2
0,1,1,0,0.6015625,2
0,1,1,0,0.623046875,2
0,0.5,1,0,0.6171875,2
0,0.5,1,0,0.642578125,2
56,0.5,2,1,0.470703125,2
0,0.5,1,0,0.5390625,2
0,1,1,0,0.576171875,2
42,1,2,1,0.755859375,2
0,1,1,0,0.638671875,2
0,1,1,0,0.841796875,2
35,0.5,2,1,0.35546875,2
35,0.5,2,1,0.875,2
0,0.5,1,0,0.6328125,2
0,1,1,0,0.703125,2
0,0.5,1,0,0.576171875,2
14,0.5,2,0,0.51953125,2
0,1,1,0,0.49609375,2
0,1,1,0,0.57421875,2
0,1,1,0,0.6953125,2
49,0.5,2,0,0.587890625,2
21,0.5,2,0,0.564453125,2
0,1,1,0,0.837890625,3
56,1,2,1,0.515625,3
42,1,2,1,0.65625,3
7,0.5,2,0,0.70703125,3
0,1,1,0,0.796875,3
0,0.5,1,0,0.642578125,3
0,1,1,0,0.796875,3
0,0.5,1,0,0.689453125,3
0,1,1,0,0.62890625,3
14,1,2,0,0.6484375,3
0,0.5,1,0,0.6640625,3
0,1,1,0,0.6171875,3
49,0.5,2,1,0.54296875,3
42,1,2,1,0.642578125,3
0,1,1,0,0.75390625,3
14,1,2,0,0.658203125,3
0,1,1,0,0.681640625,3
56,1,2,1,0.865234375,3
0,1,1,0,0.63671875,3
0,0.5,1,0,0.69921875,3
35,0.5,2,1,0.455078125,3
28,1,2,1,1.40234375,3
28,0.5,2,1,0.59375,3
42,0.5,2,1,0.666015625,3
0,0.5,1,0,0.640625,3
49,1,2,1,0.62890625,3
